519
1264.51 461.367 78.7571
1222.66 509.446 78.7043
1175.0 560.516 78.6338
1112.55 590.599 78.5793
1000.05 600.879 92.4203
783.762 592.478 116.126
17.1868 655.234 199.504
-153.385 643.339 225.03
-309.661 599.173 245.509
-469.664 542.633 259.881
-605.012 478.562 257.599
-695.201 438.071 240.609
-760.509 385.84 224.025
-821.932 323.577 213.147
-872.037 227.951 213.742
-903.834 178.479 200.313
-916.877 137.257 195.319
-887.564 108.669 197.639
-829.094 103.447 207.702
-769.119 154.084 210.491
-687.592 205.087 212.275
-600.198 245.955 213.996
-511.986 301.344 197.99
-409.166 339.524 180.793
-281.658 352.282 173.327
-173.265 338.245 166.441
-80.9099 314.04 156.622
1.29889 260.493 145.365
111.062 205.294 125.405
242.136 91.9951 114.255
473.722 47.4106 95.0423
694.495 25.575 86.0792
820.113 27.8909 83.4453
952.945 44.6779 82.2148
1049.07 64.4174 80.7887
1123.2 89.6648 78.6222
1183.91 119.39 76.4932
1225.96 147.559 74.3882
1266.87 189.196 71.599
1298.16 238.471 68.8864
1302.65 297.247 71.1727
1299.66 344.58 72.7973
1281.56 413.855 75.6244
1264.51 461.473 77.7121
